node_gene_ID	node_gene_Name	type	target_gene_ID	target_gene_Name	clipExpNum
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000040	Hecw2	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000041	Hecw2	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000042	Plcl1	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000066	Clasp1	2
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000067	Ptpn4	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000068	Ptpn4	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000069	Ptpn4	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000141	Stxbp5	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000146	Hivep2	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000147	Hivep2	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000222	Usp15	2
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000223	Usp15	2
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000228	Znrf3	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000243	Vps54	4
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000266	2810021J22Rik	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000273	Map2k4	3
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000277	Fxr2	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000289	Rtn4rl1	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000348	Dtnb	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000349	Dtnb	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000350	Dtnb	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000351	Dtnb	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000355	Atad2b	4
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000376	Hectd1	4
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000382	Ralgapa1	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000408	Kcnk10	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000459	Jarid2	4
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000518	Cacna2d3	2
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000528	Gpr137c	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000550	Ppp3cc	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000563	Pibf1	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000584	Ctnnd2	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000592	Rims2	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000628	Tcf20	4
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000629	Tcf20	4
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000707	Tiam1	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000760	mmu_circ_0000760	2
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000775	mmu_circ_0000775	2
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000780	mmu_circ_0000780	2
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000804	Man2a1	2
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000840	Arhgap12	1
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000904	mmu_circ_0000904	2
MIMAT0000121	mmu-let-7g-5p	M2C	mmu_circ_0000905	mmu_circ_0000905	2
