node_gene_ID	node_gene_Name	type	target_gene_ID	target_gene_Name	clipExpNum
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000001	Atp6v1h	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000002	Sntg1	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000004	Sntg1	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000005	Sntg1	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000006	Sntg1	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000007	Sntg1	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000008	Cspp1	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000011	Ncoa2	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000012	Stau2	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000013	Stau2	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000014	Stau2	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000016	Rims1	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000017	Rims1	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000018	Rims1	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000022	Bai3	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000024	Dst	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000026	Tmem131	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000028	Rev1	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000036	Myo1b	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000037	Mfsd6	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000048	1110028C15Rik	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000049	1110028C15Rik	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000057	Gigyf2	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000059	Agap1	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000060	Agap1	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000067	Ptpn4	1
ENSMUSG00000003410	Elavl3	R2C	mmu_circ_0000068	Ptpn4	1
